Longitude,Latitude
1,42.51
55,25.42
55,25.39
54,24.48
54,24.51
54,24.4
54,24.4
54,24.46
55,24.19
54,24.48
54,24.47
54,24.49
55,24.19
54,24.3
54,24.48
55,24.21
54,24.47
54,24.47
54,24.47
54,24.48
54,24.42
54,24.46
54,24.41
54,24.5
54,24.47
54,24.35
55,24.21
54,24.54
54,24.47
54,24.9
54,24.5
54,24.4
55,24.48
54,24.43
54,24.46
54,24.46
54,24.43
54,24.41
55,23.85
54,24.47
54,24.52
54,24.48
54,24.47
55,24.12
55,25.24
55,24.19
55,24.24
55,25.1
55,24.16
55,24.21
55,24.13
54,24.41
54,24.29
54,24.39
55,25.05
55,25.17
55,24.78
55,25.25
55,25.27
55,25.1
55,25.19
55,25.21
55,25.08
55,25.25
55,25.12
55,25.23
55,25.19
55,25.13
55,25.08
55,25.17
55,25.07
55,25.27
55,25.19
55,25.27
55,25.07
55,25.13
55,25.19
55,25.22
55,25.1
55,25.27
55,25.26
55,25.2
55,25.05
55,25.27
55,25.11
55,25.03
55,25.23
55,25.2
55,25.26
55,25.25
55,25.04
55,25.2
55,25.25
55,24.92
55,25.24
55,25.13
55,25.13
55,25.21
55,25.05
55,25.22
55,25.23
55,25.2
55,25.25
55,25.04
55,25.23
55,25.25
55,25.23
55,25.23
55,25.07
55,25.27
55,25.22
55,24.99
55,25.12
55,25.12
55,25.23
55,25.08
55,25.27
55,25.08
55,25.08
55,25.11
55,25.25
55,25.25
55,25.04
55,24.54
55,25.2
55,25.25
55,25.1
55,25.13
55,25.11
55,25.29
55,25.05
55,25.1
55,25.11
56,25.13
56,25.12
55,25.68
55,25.79
55,25.75
55,25.35
55,25.35
55,25.33
55,25.32
55,25.3
55,25.3
55,25.53
-58,-34.68
-57,-34.88
-58,-34.58
-58,-34.53
-58,-34.47
-58,-34.49
-58,-34.59
-58,-34.6
-58,-34.8
-58,-34.48
-58,-34.51
-58,-34.63
-58,-34.45
-60,-33.39
-58,-34.46
-58,-34.72
-58,-34.49
-58,-34.69
-58,-34.4
-58,-34.45
-58,-34.53
-58,-34.6
-58,-34.57
-58,-34.6
-58,-34.58
-58,-34.55
-58,-34.56
-58,-34.6
-58,-34.6
-58,-34.57
-58,-34.61
-58,-34.56
-58,-34.59
-58,-34.57
-58,-34.59
-58,-34.58
-58,-34.61
-58,-34.57
-58,-34.6
-58,-34.6
-58,-34.61
-58,-34.55
-58,-34.57
-58,-34.6
-58,-34.6
-58,-34.59
-58,-34.6
-58,-34.58
-58,-34.6
-58,-34.56
-58,-34.61
-58,-34.6
-58,-34.61
-58,-34.61
-58,-34.59
-58,-34.62
-58,-34.62
-58,-34.62
-58,-34.6
-58,-34.58
-58,-34.61
-58,-34.58
-58,-34.54
-58,-34.6
-58,-34.6
-58,-34.6
-58,-34.6
-58,-34.62
-58,-34.64
-58,-34.62
-58,-34.59
-58,-34.61
-58,-34.58
-58,-34.59
-58,-34.6
-58,-34.58
-58,-34.6
-58,-34.57
-58,-34.6
-58,-34.61
-58,-34.54
-58,-34.59
-58,-34.6
-58,-34.58
-58,-34.59
-58,-34.77
-58,-34.55
-58,-34.6
-58,-34.6
-58,-34.6
-58,-34.57
-58,-34.62
-58,-34.55
-58,-34.6
-68,-32.89
-68,-32.88
